ticker,Company,Price,Change%,RSI,Rel Vol,Mkt Cap(M)
NVDA,NVIDIA Corp,214.86,-0.22,53.26,1.07,5199612
GOOGL,Alphabet Inc,388.88,1.54,61.05,0.92,4691824
GOOG,Alphabet Inc,384.84,1.44,60.78,0.84,4687018
AAPL,Apple Inc,308.33,-0.16,77.51,1.07,4528552
MSFT,Microsoft Corp,416.03,-0.61,52.4,0.87,3090451
AMZN,Amazon.com Inc,265.29,-0.39,56.63,0.84,2853753
TSM,Taiwan Semiconductor Manufacturing ADR,412.46,1.96,58.78,0.73,2139223
AVGO,Broadcom Inc,422.01,1.9,56.35,0.92,1998077
TSLA,Tesla Inc,433.59,1.78,60.83,0.72,1628444
META,Meta Platforms Inc,612.34,0.34,46.45,0.76,1554378
BRK-A,Berkshire Hathaway Inc,726152.75,-0.34,54.41,0.77,1045000
BRK-B,Berkshire Hathaway Inc,483.57,-0.58,54.88,0.89,1042522
MU,Micron Technology Inc,895.88,19.29,74.86,1.65,1010314
LLY,Lilly(Eli) & Co,1066.94,0.18,68.23,0.9,1004786
WMT,Walmart Inc,118.57,-1.41,31.78,1.49,945120
JPM,JPMorgan Chase & Co,306.78,0.13,53.07,0.76,822020
AMD,Advanced Micro Devices Inc,503.89,7.78,77.05,0.98,821643
ASML,ASML Holding NV,1631.66,-0.08,62.04,0.97,628874
XOM,Exxon Mobil Corp,149.86,-3.27,44.29,0.62,621161
INTC,Intel Corp,123.52,3.07,70.23,0.92,620811
V,Visa Inc,326.57,-0.7,54.7,1.17,615289
ORCL,Oracle Corp,192.87,0.41,60.09,0.47,554702
JNJ,Johnson & Johnson,230.31,-1.72,50.64,0.82,554406
CSCO,Cisco Systems Inc,118.33,-1.73,75.76,1.14,466389
COST,Costco Wholesale Corp,1002.93,-2.46,43.88,1.47,444952
MA,Mastercard Incorporated,493.22,-1.07,44.67,0.54,435801
CAT,Caterpillar Inc,908.76,3.28,60.92,0.86,418606
LRCX,Lam Research Corp,322.68,5.68,68.72,0.98,403534
ABBV,Abbvie Inc,213.08,-1.21,56.4,0.7,376468
BAC,Bank Of America Corp,52.23,0.83,55.39,0.7,370654
NFLX,Netflix Inc,87.68,-1.04,41.43,0.54,369202
CVX,Chevron Corp,184.71,-3.51,42.84,1.07,367868
AMAT,Applied Materials Inc,454.89,5.26,64.24,1.18,361164
KO,Coca-Cola Co,80.51,-1.18,57.93,0.84,346414
UNH,Unitedhealth Group Inc,376.93,-2.97,56.83,0.74,342306
